,dishes_name
549,"香烤牛排


"
550,谷稻小庄 
551,西瓜胡萝卜沙拉
552,美妙绝伦之白莲花
553,蒜香辣花甲
554,哈尔滨啤酒罐装
555,芝士烩波士顿龙虾
556,紫薯面包卷
557,"五香酱驴肉


"
558,培根紫菜卷
559,法国波尔多AOC干红葡萄酒原
560,油焖麻辣虾
561,"番茄炖牛腩


"
562,山药养生粥
563,黑米恋上葡萄
564,蒜香辣花甲
565,白胡椒胡萝卜羊肉汤
566,避风塘炒蟹
567,凉拌菠菜
568,牛肉鸡蛋肠粉
569,鸡蛋、肉末肠粉
570,金玉良缘
571,葱油凉拌藕片
572,芝士烩波士顿龙虾
573,芝麻烤紫菜
574,白胡椒胡萝卜羊肉汤
575,露露无糖杏仁露
576,辣炒鱿鱼
577,打卤面
578,蒜蓉生蚝
579,"照烧鸡腿


"
580,酸辣藕丁
581,老式面包
582,牛肉鸡蛋肠粉
583,西瓜胡萝卜沙拉
584,蓝带啤酒罐装
585,香辣腐乳炒虾
586,五彩藕苗
587,蓝带啤酒罐装
588,牛奶卷
589,炝炒大白菜
590,倒立蒸梭子蟹
591,葱姜炒蟹
592,黄油曲奇饼干
593,白饭/大碗
594,葱油凉拌藕片
595,"蒙古烤羊腿


"
596,辣炒鱿鱼
597,冰糖红豆薏米粥
598,姜葱炒花蟹
599,凉拌菠菜
600,53度茅台
601,白饭/大碗
602,"蒙古烤羊腿


"
603,南瓜枸杞小饼干
604,特醇嘉士伯啤酒罐装
605,冰糖红豆薏米粥
606,蒜香包
607,小米南瓜粥
608,山药养生粥
609,孜然羊排
610,油焖麻辣虾
611,老式面包
612,美妙绝伦之白莲花
613,牛尾汤
614,西瓜胡萝卜沙拉
615,爆炒双丝
616,紫薯面包卷
617,路易拉菲红酒干红
618,香酥两吃大虾
619,糖醋蕃茄溜青花
620,38度剑南春 
621,百里香奶油烤红酒牛肉
622,重庆特色油烧兔
623,香辣腐乳炒虾
624,凉拌菠菜
625,辣炒鱿鱼
626,清蒸蝶鱼
627,五色糯米饭(七色)
628,白饭/大碗
629,白斩鸡
630,白斩鸡
631,水煮鱼
632,凉拌菠菜
633,葱姜炒蟹
634,培根紫菜卷
635,剁椒鱼头
636,意文柠檬汁 
637,三丝鳝鱼
638,培根花菜
639,鲜美鳝鱼
640,"蒙古烤羊腿


"
641,鱼香肉丝拌面
642,孜然羊排
643,焖猪手
644,盘蟹蒸蛋
645,桂圆肉红豆八宝饭
646,南瓜芝士包
647,爆炒双丝
648,清蒸蝶鱼
649,谷稻小庄 
650,白胡椒胡萝卜羊肉汤
651,凉拌菠菜
652,番茄有机花菜
653,"小炒羊腰


"
654,清蒸蝶鱼
655,辣炒田螺
656,意文柠檬汁 
657,麻辣小龙虾
658,白胡椒胡萝卜羊肉汤
659,"红酒土豆烧鸭腿


"
660,三色凉拌手撕兔
661,炝炒大白菜
662,青炒扁豆
663,拌土豆丝
664,凉拌菠菜
665,白饭/大碗
666,谷稻小庄 
667,大理石奶油蛋糕
668,白饭/大碗
669,土豆西红柿汤面
670,法国波尔多AOC干红葡萄酒原
671,啤酒鸭
672,清蒸海鱼
673,辣炒鱿鱼
674,蒜蓉生蚝
675,番茄甘蓝
676,白斩鸡
677,爆炒双丝
678,五彩藕苗
679,西瓜胡萝卜沙拉
680,干锅田鸡
681,意文柠檬汁 
682,一品香酥藕
683,清爽拌凉面
684,鱼香肉丝拌面
685,皮蛋瘦肉粥
686,芝士烩波士顿龙虾
687,避风塘炒蟹
688,啤酒鸭
689,蒜香辣花甲
690,"泡椒凤爪


"
691,"张裕葡萄酒张裕赤霞珠干红


"
692,白饭/小碗
693,剁椒鱼头
694,葱油凉拌藕片
695,花蛤蒸蛋
696,"香烤牛排


"
697,"独家薄荷鲜虾牛肉卷


"
698,金玉良缘
699,爆炒鸡翅
700,"蒙古烤羊腿


"
701,倒立蒸梭子蟹
702,水煮鱼
703,番茄有机花菜
704,"党参黄芪炖牛尾


"
705,谷稻小庄 
706,黄花菜炒木耳
707,意文柠檬汁 
708,凉拌蒜蓉西兰花
709,香酥两吃大虾
710,辣炒鱿鱼
711,五彩豆
712,清爽拌凉面
713,蒜香包
714,拌土豆丝
715,五色糯米饭(七色)
716,谷稻小庄 
717,白斩鸡
718,炝炒大白菜
719,意文柠檬汁 
720,美妙绝伦之白莲花
721,凉拌菠菜
722,南瓜枸杞小饼干
723,一品香酥藕
724,辣炒鱿鱼
725,麻辣小龙虾
726,鱼香肉丝拌面
727,盘蟹蒸蛋
728,水煮鱼
729,孜然羊排
730,干锅田鸡
731,"香烤牛排


"
732,五色糯米饭(七色)
733,南瓜芝士包
734,咖啡奶香面包
735,"香辣爆羊肝


"
736,糖醋蕃茄溜青花
737,凉拌菠菜
738,炝炒大白菜
739,桂圆肉红豆八宝饭
740,酸辣汤面
741,葱油凉拌藕片
742,番茄有机花菜
743,凉拌蒜蓉西兰花
744,酸辣藕丁
745,拌土豆丝
746,宝宝版牛肉肠粉
747,五色糯米饭(七色)
748,黑米恋上葡萄
749,53度茅台
750,小米南瓜粥
751,姜葱炒花蟹
752,清爽拌凉面
753,蛋挞
754,焖猪手
755,紫薯面包卷
756,辣炒鱿鱼
757,凉拌菠菜
758,香酥两吃大虾
759,谷稻小庄 
760,"蒙古烤羊腿


"
761,剁椒鱼头
762,美妙绝伦之白莲花
763,桂圆枸杞鸽子汤
764,炝炒大白菜
765,"蒙古烤羊腿


"
766,孜然羊排
767,炝炒大白菜
768,剁椒鱼头
769,蒜蓉生蚝
770,焖猪手
771,炝炒大白菜
772,谷稻小庄 
773,蛋挞
774,大蒜苋菜
775,一品香酥藕
776,白饭/小碗
777,白饭/小碗
778,麻辣小龙虾
779,香酥两吃大虾
780,避风塘炒蟹
781,水煮鱼
782,蒜香辣花甲
783,"香烤牛排
"
784,"党参黄芪炖牛尾
"
785,焖猪手
786,酸辣藕丁
787,凉拌蒜蓉西兰花
788,凉拌菠菜
789,南瓜枸杞小饼干
790, 42度海之蓝
791,意文柠檬汁 
792,香菇鸡肉粥
793,清爽拌凉面
794,超人气广式肠粉
795,油焖麻辣虾
796,皮蛋瘦肉粥
797,水煮鱼
798,意文柠檬汁 
799,美妙绝伦之白莲花
800,南瓜枸杞小饼干
801,桂圆肉红豆八宝饭
802,三色凉拌手撕兔
803,番茄炖秋葵
804,香酥两吃大虾
805,姜葱炒花蟹
806,清蒸海鱼
807,自制猪肉脯
808,水煮鱼
809,冰糖红豆薏米粥
810,山药养生粥
811,芹菜炒腰花
812,辣炒海带丝
813,谷稻小庄 
814,干锅田鸡
815,青炒扁豆
816,白饭/大碗
817,黄花菜炒木耳
818,剁椒鱼头
819,农夫山泉NFC果汁100%橙汁
820,凉拌菠菜
821,白胡椒胡萝卜羊肉汤
822,一品香酥藕
823,紫薯面包卷
824,番茄有机花菜
825,白饭/大碗
826,超人气广式肠粉
827,爆炒鸡翅
828,培根紫菜卷
829,"照烧鸡腿


"
830,"独家薄荷鲜虾牛肉卷


"
831,五彩藕苗
832,意文柠檬汁 
833,凉拌蒜蓉西兰花
834,打卤面
835,大蒜苋菜
836,凉拌菠菜
837,木须豌豆
838,白斩鸡
839,水煮鱼
840,姜葱炒花蟹
841,香辣腐乳炒虾
842,紫薯面包卷
843,麻辣小龙虾
844,辣炒鱿鱼
845,爆炒猪肝
846,白饭/小碗
847,剁椒鱼头
848,自制猪肉脯
849,水煮鱼
850,凉拌菠菜
851,孜然羊排
852,"蒙古烤羊腿


"
853,香酥两吃大虾
854,南瓜枸杞小饼干
855,麻辣小龙虾
856,姜葱炒花蟹
857,凉拌蒜蓉西兰花
858,百里香奶油烤红酒牛肉
859,香菇鹌鹑蛋
860,凉拌菠菜
861,桂圆枸杞鸽子汤
862,葱油凉拌藕片
863,蒜香辣花甲
864,白饭/大碗
865,皮蛋瘦肉粥
866,糖醋蕃茄溜青花
867,黄尾袋鼠西拉子红葡萄酒
868,意文柠檬汁 
869,"香辣爆羊肝


"
870,红酒炖羊肉
871,大蒜苋菜
872,香酥两吃大虾
873,油焖麻辣虾
874,百里香奶油烤红酒牛肉
875,"番茄炖牛腩


"
876,倒立蒸梭子蟹
877,焖猪手
878,西瓜胡萝卜沙拉
879,爆炒猪肝
880,水煮鱼
881,金玉良缘
882,谷稻小庄 
883,打卤面
884,凉拌萝卜丝
885,拌土豆丝
886,五色糯米饭(七色)
887,倒立蒸梭子蟹
888,清蒸蝶鱼
889,白胡椒胡萝卜羊肉汤
890,焖猪手
891,五彩藕苗
892,大蒜苋菜
893,葡萄奶酥(超酥香的饼干)
894,清爽拌凉面
895,五色糯米饭(七色)
896,53度茅台
897,蛋挞
898,"香烤牛排


"
899,番茄甘蓝
900,白饭/大碗
901,芝士烩波士顿龙虾
902,西瓜胡萝卜沙拉
903,"香烤牛排


"
904,凉拌萝卜丝
905,番茄炖秋葵
906,不加一滴油的酸奶蛋糕
907,南瓜枸杞小饼干
908,牛肉鸡蛋肠粉
909,五色糯米饭(七色)
910,路易拉菲红酒干红
911,白胡椒胡萝卜羊肉汤
912,鱼香肉丝拌面
913,葱姜炒蟹
914,麻辣小龙虾
915,蒜蓉生蚝
916,"独家薄荷鲜虾牛肉卷


"
917,凉拌萝卜丝
918,香菇鹌鹑蛋
919,"张裕葡萄酒张裕赤霞珠干红


"
920,意文柠檬汁 
921,清爽拌凉面
922,冰糖红豆薏米粥
923,白饭/大碗
924,水煮鱼
925,玉竹南北杏鸭腿汤
926,孜然羊排
927,"红酒土豆烧鸭腿
"
928,油焖麻辣虾
929,木须豌豆
930,白胡椒胡萝卜羊肉汤
931,肉丁茄子
932,"番茄炖牛腩
"
933,鸡蛋、肉末肠粉
934,清爽拌凉面
935,皮蛋瘦肉粥
